,State,month,Confirmed
0,AK,January,52628
1,AL,January,459639
2,AR,January,295268
3,AZ,January,758404
4,CA,January,3243369
5,CO,January,396179
6,CT,January,250023
7,DC,January,36872
8,DE,January,78071
9,FL,January,1721377
10,GA,January,749867
11,HI,January,25853
12,IA,January,319203
13,ID,January,162683
14,IL,January,1126267
15,IN,January,630063
16,KS,January,277495
17,KY,January,362890
18,LA,January,400626
19,MA,January,498145
20,MD,January,354473
21,ME,January,39534
22,MI,January,610138
23,MN,January,461807
24,MO,January,458819
25,MS,January,275001
26,MT,January,93949
27,NC,January,757632
28,ND,January,97628
29,NE,January,189328
30,NH,January,65695
31,NJ,January,696782
32,NM,January,168084
33,NV,January,273334
34,NY,January,1389515
35,OH,January,895792
36,OK,January,389472
37,OR,January,141731
38,PA,January,843224
39,RI,January,106914
40,SC,January,443386
41,SD,January,108249
42,TN,January,727861
43,TX,January,2364098
44,UT,January,346624
45,VA,January,504779
46,VT,January,11965
47,WA,January,311597
48,WI,January,592140
49,WV,January,120994
50,WY,January,51907
51,AK,February,55947
52,AL,February,493257
53,AR,February,322511
54,AZ,February,817821
55,CA,February,3475564
56,CO,February,428312
57,CT,February,279946
58,DC,February,40598
59,DE,February,86799
60,FL,February,1909222
61,GA,February,818522
62,HI,February,27559
63,IA,February,336316
64,ID,February,171144
65,IL,February,1186699
66,IN,February,665151
67,KS,February,296286
68,KY,February,404448
69,LA,February,430133
70,MA,February,550302
71,MD,February,382099
72,ME,February,44635
73,MI,February,645558
74,MN,February,484597
75,MO,February,478238
76,MS,February,294784
77,MT,February,99957
78,NC,February,858560
79,ND,February,99818
80,NE,February,199177
81,NH,February,75588
82,NJ,February,789163
83,NM,February,178681
84,NV,February,288597
85,NY,February,1606697
86,OH,February,967422
87,OK,February,424510
88,OR,February,154885
89,PA,February,931665
90,RI,February,118421
91,SC,February,516823
92,SD,February,112427
93,TN,February,775035
94,TX,February,2645212
95,UT,February,371235
96,VA,February,576207
97,VT,February,15199
98,WA,February,339775
99,WI,February,617382
100,WV,February,131748
101,WY,February,54395
102,AK,March,60248
103,AL,March,515423
104,AR,March,330401
105,AZ,March,841884
106,CA,March,3564476
107,CO,March,462085
108,CT,March,310888
109,DC,March,44513
110,DE,March,94802
111,FL,March,2057825
112,GA,March,852504
113,HI,March,29681
114,IA,March,350840
115,ID,March,180536
116,IL,March,1244594
117,IN,March,690069
118,KS,March,302384
119,KY,March,427015
120,LA,March,444977
121,MA,March,598390
122,MD,March,411344
123,ME,March,50504
124,MI,March,746352
125,MN,March,519531
126,MO,March,489387
127,MS,March,305149
128,MT,March,104556
129,NC,March,914149
130,ND,March,103106
131,NE,March,207577
132,NH,March,84176
133,NJ,March,908816
134,NM,March,184989
135,NV,March,298328
136,NY,March,1832790
137,OH,March,1017620
138,OK,March,437859
139,OR,March,165013
140,PA,March,1024858
141,RI,March,136419
142,SC,March,551631
143,SD,March,117761
144,TN,March,811845
145,TX,March,2780903
